Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2023-07-01 09:15:32,2023-07-01 12:20:45,Alice,-120.45,1.00,USD,COMPLETED,1050.75
CARD_PAYMENT,Savings,2023-07-02 11:45:00,2023-07-02 13:55:30,Bob,-90.67,0.50,USD,COMPLETED,960.08
TRANSFER,Current,2023-07-03 15:30:45,2023-07-03 16:45:50,Charlie,700.00,0.00,USD,COMPLETED,1660.08
CARD_PAYMENT,Current,2023-07-04 19:15:20,2023-07-04 20:45:30,Diana,-200.87,2.00,USD,COMPLETED,1459.21
DEPOSIT,Current,2023-07-05 08:05:10,2023-07-05 09:45:00,Ethan,350.00,0.00,USD,COMPLETED,1809.21
TRANSFER,Savings,2023-07-07 10:20:55,2023-07-07 11:30:10,Faith,-300.00,0.00,USD,FAILED,1809.21
CARD_PAYMENT,Savings,2023-07-10 14:45:10,2023-07-10 16:00:25,Gabriel,-50.90,0.75,USD,COMPLETED,1758.31
DEPOSIT,Savings,2023-07-12 09:30:40,2023-07-12 11:15:00,Hannah,800.50,0.00,USD,COMPLETED,2558.81
CARD_PAYMENT,Current,2023-07-14 13:45:50,2023-07-14 14:55:20,Ian,-300.00,1.25,USD,COMPLETED,2257.56
TRANSFER,Current,2023-07-15 18:20:15,2023-07-15 19:30:45,Jack,450.00,0.00,USD,COMPLETED,2707.56
CARD_PAYMENT,Savings,2023-07-18 11:10:45,2023-07-18 12:15:30,Lily,-125.34,0.50,USD,COMPLETED,2582.22
DEPOSIT,Current,2023-07-20 15:20:50,2023-07-20 16:30:00,Mike,600.00,0.00,USD,COMPLETED,3182.22
CARD_PAYMENT,Current,2023-07-22 18:45:30,2023-07-22 20:10:15,Nina,-240.60,2.50,USD,COMPLETED,2941.62
TRANSFER,Savings,2023-07-25 09:00:00,2023-07-25 10:30:15,Oscar,750.00,0.00,USD,PENDING,3691.62
CARD_PAYMENT,Current,2023-07-27 14:45:10,2023-07-27 15:30:45,Paul,-400.00,1.75,USD,COMPLETED,3291.62
DEPOSIT,Savings,2023-07-30 10:20:50,2023-07-30 12:45:00,Quinn,950.00,0.00,USD,COMPLETED,4241.62
